abbreviation,agency,asn,prefix,ip_version,rir_registry,rir_status,rir_assigned_date,rir_short_name,rir_description,collected_at
AF,Air Force Systems Networking,AS132,,,arin,assigned,1987-10-15,WPAFB-CSD-NET-AS,Air Force Systems Networking,2026-06-23T10:32:39Z
AF,Air Force Systems Networking,AS386,,,arin,assigned,1989-08-04,AFCONC-BLOCK1-AS,Air Force Systems Networking,2026-06-23T10:32:39Z
CBO,Congressional Budget Office,AS2274,158.219.175.0/24,ipv4,arin,assigned,1993-01-15,CBO,Congressional Budget Office,2026-06-23T10:32:39Z
CBO,Congressional Budget Office,AS2274,158.219.183.0/24,ipv4,arin,assigned,1993-01-15,CBO,Congressional Budget Office,2026-06-23T10:32:39Z
CBO,Congressional Budget Office,AS2274,158.219.33.0/24,ipv4,arin,assigned,1993-01-15,CBO,Congressional Budget Office,2026-06-23T10:32:39Z
CBO,Congressional Budget Office,AS2274,158.219.75.0/24,ipv4,arin,assigned,1993-01-15,CBO,Congressional Budget Office,2026-06-23T10:32:39Z
CBO,Congressional Budget Office,AS2274,158.219.80.0/24,ipv4,arin,assigned,1993-01-15,CBO,Congressional Budget Office,2026-06-23T10:32:39Z
CDC,Centers for Disease Control and Prevention (CDC),AS13611,158.111.0.0/16,ipv4,arin,assigned,1999-07-14,CDC,U.S. Center For Disease Control and Prevention,2026-06-23T10:32:39Z
CDC,Centers for Disease Control and Prevention (CDC),AS13611,198.246.96.0/19,ipv4,arin,assigned,1999-07-14,CDC,U.S. Center For Disease Control and Prevention,2026-06-23T10:32:39Z
CIA,Central Intelligence Agency,AS3358,,,arin,assigned,1993-12-22,UCIA-AS,Central Intelligence Agency,2026-06-23T10:32:39Z
CNCS,AmeriCorps,AS6570,,,arin,assigned,2025-11-25,CNCS,AmeriCorps,2026-06-23T10:32:39Z
DHS,Department of Homeland Security,AS15147,161.214.182.0/24,ipv4,arin,assigned,2006-11-03,DHSINETNOC,DEPARTMENT OF HOMELAND SECURITY,2026-06-23T10:32:39Z
DHS,Department of Homeland Security,AS15147,161.214.183.0/24,ipv4,arin,assigned,2006-11-03,DHSINETNOC,DEPARTMENT OF HOMELAND SECURITY,2026-06-23T10:32:39Z
DHS,Department of Homeland Security,AS15147,161.214.7.0/24,ipv4,arin,assigned,2006-11-03,DHSINETNOC,DEPARTMENT OF HOMELAND SECURITY,2026-06-23T10:32:39Z
DHS,Department of Homeland Security,AS15147,161.214.8.0/22,ipv4,arin,assigned,2006-11-03,DHSINETNOC,DEPARTMENT OF HOMELAND SECURITY,2026-06-23T10:32:39Z
