group,sub_organization,github_org,github_url,display_name,description,website,public_repos,last_push,created,verified,listed_in,attributed_by
AHRQ,,ahrq-gov,https://github.com/ahrq-gov,ahrq-gov,,,0,,2025-08-29,,search,
CDC,,CDC-DN,https://github.com/CDC-DN,CDC DN - IT,Organization of a team of programmers passionate about technology. Implementing e-government projects,,1,2025-02-04,2025-02-04,,search,
CDC,,CDC-US,https://github.com/CDC-US,CDC-US,,,0,,2025-11-08,,search,
DHS,,DHS-LACounty,https://github.com/DHS-LACounty,LAC - Department of Health Services Repositories,Los Angles County - Department of Health Services,,0,,2021-12-01,,search,
DHS,,DHS-National-Honor-Society,https://github.com/DHS-National-Honor-Society,DHS National Honor Society,,,4,2025-03-06,2024-04-10,,search,
DLA,,DLA-Piper-US-IT,https://github.com/DLA-Piper-US-IT,DLA-Piper-US-IT,,,0,,2023-05-18,,search,
DOE,,DOE-GOV,https://github.com/DOE-GOV,DOE.GOV,,,68,2025-11-19,2025-09-04,,search,
DOE,,DOE-HQ,https://github.com/DOE-HQ,Department of Energy Headquarters,This organization was created simply to exist,,0,,2023-10-17,,search,
DOE,,DOE-national-labs,https://github.com/DOE-national-labs,DOE-national-labs,,,0,,2024-05-29,,search,
DOL,,dol-gov,https://github.com/dol-gov,dol-gov,,,0,,2025-02-02,,search,
EPA,,EPA-IE,https://github.com/EPA-IE,"Environmental Protection Agency, Ireland",,,0,,2023-10-05,,search,
FBI,,fbi-gov,https://github.com/fbi-gov,fbi-gov,,,0,,2019-09-13,,search,
FDIC,,FDIC-GOVERNMENT-IOS,https://github.com/FDIC-GOVERNMENT-IOS,FDIC GOVERNMENT IOS,,,0,,2026-09-09,,search,
FHWA,,FHWA,https://github.com/FHWA,Federal Highway Administration,,,6,2026-09-21,2016-04-12,,search,
GSA,,GSA-APS,https://github.com/GSA-APS,GSA | OAM-APS,U.S. General Services Administration-Automation Process Solutions,,2,2025-04-17,2023-06-13,,search,
HHS,,HHS-ASPA,https://github.com/HHS-ASPA,Office of the Assistant Secretary for Public Affairs,ASPA serves as the Secretary's principal counsel on public affairs.,,0,,2026-03-10,,search,
HHS,,HHS-OIG,https://github.com/HHS-OIG,"Department of Health and Human Services, Office of Inspector General",,,3,2017-06-30,2016-09-06,,search,
HHS,,HHS-OIS,https://github.com/HHS-OIS,Office of Information Security,,,0,,2026-03-25,,search,
HHS,,HHS-OMH,https://github.com/HHS-OMH,Office of Minority Health,"OMH provides national leadership, resources, and coordination to improve the health of racial and ethnic minority populations.",,0,,2026-02-27,,search,
HRSA,,HRSA-OIT,https://github.com/HRSA-OIT,HRSA Office of Information Technology,,,0,,2022-05-04,,search,
HUD,,HUD-Agency,https://github.com/HUD-Agency,HUD-Agency,,,0,,2023-04-14,,search,
HUD,,Hud-gov,https://github.com/Hud-gov,Hud-gov,,,0,,2021-09-26,,search,
