group,sub_organization,github_org,github_url,display_name,description,website,public_repos,last_push,created,verified,listed_in,attributed_by
AK,State of Alaska,akhealth,https://github.com/akhealth,Alaska Department of Health,The State of Alaska Department of Health,http://health.alaska.gov/,19,2026-05-20,2017-06-28,,governments.yml,domain:alaska.gov
AZ,,azgs,https://github.com/azgs,Arizona Geological Survey,,https://azgs.arizona.edu/,33,2026-08-13,2011-12-30,,governments.yml,override
AZ,"State of Arizona, Executive Branch",State-of-Arizona,https://github.com/State-of-Arizona,State of Arizona,,www.az.gov,3,2026-09-09,2012-12-20,,governments.yml,domain:az.gov
CA,State of California,cagov,https://github.com/cagov,Office of Data and Innovation,,https://innovation.ca.gov,99,2026-09-25,2018-07-11,,governments.yml,domain:ca.gov
CA,State of California,CAWaterBoardDataCenter,https://github.com/CAWaterBoardDataCenter,California Water Board Data Center,"Open source resources from the California Water Resources Control Board and our partners. For more information or to join, contact waterdata@waterboards.ca.gov",www.waterboards.ca.gov/,55,2026-09-24,2018-01-03,,governments.yml,domain:ca.gov
CA,State of California,CentralValleyModeling,https://github.com/CentralValleyModeling,Central Valley Modeling,California Department of Water Resources | Modeling Support Office,https://water.ca.gov/Library/Modeling-and-Analysis/Central-Valley-models-and-tools,37,2026-09-25,2015-04-03,,governments.yml,domain:ca.gov
CA,State of California,judicialcouncilcalifornia,https://github.com/judicialcouncilcalifornia,Judicial Council of California,The Judicial Council of California is the rule-making arm of the California court system.,https://www.courts.ca.gov/policyadmin-jc.htm,0,,2019-07-24,,governments.yml,domain:ca.gov
CA,State of California,MESMD,https://github.com/MESMD,MESMD,California Department of Healthcare Services - Medi-Cal Enterprise System Modernization,http://www.dhcs.ca.gov,4,2022-10-10,2021-04-01,,governments.yml,domain:ca.gov
CA,State of California,StateOfCalifornia,https://github.com/StateOfCalifornia,State of California,This is the official Organization on GitHub for the Great State of California.,https://www.ca.gov/,14,2026-06-23,2013-03-19,,governments.yml,domain:ca.gov
CO,"Colorado, Governor's Office of Information Technology",ColoradoDemography,https://github.com/ColoradoDemography,ColoradoDemography,The State Demography Office provides population and demographic information for Colorado,https://demography.dola.colorado.gov/,132,2026-09-23,2015-11-30,,governments.yml,domain:colorado.gov
CO,Colorado Department of State,GoCodeColorado,https://github.com/GoCodeColorado,InnovateCO Data Challenge,,https://bic.coloradosos.gov/data-challenge/,5,2023-06-02,2015-01-30,,governments.yml,domain:coloradosos.gov
CT,State of CT/Department of Administrative Services,CTOpenData,https://github.com/CTOpenData,Connecticut Open Data,Site for the Connecticut Open Data Portal,https://data.ct.gov,29,2026-04-14,2014-04-22,,governments.yml,domain:ct.gov
DC,Government of the District of Columbia,DCGovWeb,https://github.com/DCGovWeb,,,dc.gov,0,,2014-09-04,,governments.yml,domain:dc.gov
FL,,FGS-FloridaGeologicalSurvey,https://github.com/FGS-FloridaGeologicalSurvey,Florida Geological Survey,Organization for the Florida Geological Survey,http://www.dep.state.fl.us/geology/,1,2014-06-18,2014-06-18,,governments.yml,domain:dep.state.fl.us
GA,Georgia Technology Authority,gaepdit,https://github.com/gaepdit,Georgia EPD IT,Environmental Protection Division of the State of Georgia,https://epd.georgia.gov/,27,2026-09-25,2015-09-30,,governments.yml,domain:georgia.gov
HI,"State of Hawaii, DAGS/ETS",eHawaii,https://github.com/eHawaii,eHawaii.gov,,http://www.hawaii.gov,3,2016-09-29,2013-02-15,,governments.yml,domain:hawaii.gov
HI,"State of Hawaii, DAGS/ETS",oimt,https://github.com/oimt,Office of Information Management and Technology,,http://hawaii.gov,3,2013-11-26,2013-02-07,,governments.yml,domain:hawaii.gov
ID,"State of Idaho, Office of Information Technology Services",IDAHO-DOC-NCOMS,https://github.com/IDAHO-DOC-NCOMS,"Idaho Dept of Corrections, NCOMs project",Shared code project for multi-state DOC association,,0,,2014-07-07,,governments.yml,domain:idaho.gov
ID,"State of Idaho, Office of Information Technology Services",idahofishgame,https://github.com/idahofishgame,Idaho Department of Fish and Game,,https://idfg.idaho.gov,12,2024-11-18,2013-11-13,,governments.yml,domain:idaho.gov
LA,State of Louisiana - Office of Technology Services,la-ots,https://github.com/la-ots,Louisiana Office of Technology Services,"State of Louisiana, Division of Administration, Office of Technology Services",https://www.doa.la.gov/doa/ots/,6,2026-09-25,2021-09-23,,governments.yml,domain:la.gov
MA,,massgov,https://github.com/massgov,MASSGOV,Commonwealth of Massachusetts,,19,2026-09-25,2014-06-02,,governments.yml,override
MT,,MFWP-GIS,https://github.com/MFWP-GIS,Montana Fish Wildlife and Parks GIS,,,2,2015-11-18,2014-03-28,,governments.yml,override
NC,"ITS, Executive Office of the State of North Carolina",NC-DIT-Open-Source,https://github.com/NC-DIT-Open-Source,NC Department of Information Technology Open Source,,https://it.nc.gov,2,2026-09-25,2026-05-05,,governments.yml,domain:nc.gov
NC,NC Department of Cultural Resources,SLNC-DIMP,https://github.com/SLNC-DIMP,SLNC Digital Team,,https://statelibrary.ncdcr.gov/,10,2026-08-10,2012-04-13,,governments.yml,domain:ncdcr.gov
NE,State of Nebraska,NebraskaMAP,https://github.com/NebraskaMAP,NebraskaMAP,,http://www.NebraskaMAP.gov,3,2019-02-04,2015-07-31,,governments.yml,domain:nebraskamap.gov
NE,State of Nebraska,nelegislature,https://github.com/nelegislature,Nebraska Legislature,Nebraska Legislative Council,http://www.nebraskalegislature.gov,1,2026-09-25,2014-07-21,,governments.yml,domain:nebraskalegislature.gov
NJ,State of New Jersey,newjersey,https://github.com/newjersey,New Jersey Innovation Authority,NJ / Innovation Authority's GitHub account,https://innovation.nj.gov,72,2026-09-26,2018-11-28,yes,governments.yml,domain:nj.gov
NJ,,NJOGIS,https://github.com/NJOGIS,New Jersey Office of GIS,New Jersey Office of GIS,http://njgin.state.nj.us,4,2017-01-27,2014-04-08,,governments.yml,domain:njgin.state.nj.us
NJ,,NJStateLibrary,https://github.com/NJStateLibrary,New Jersey State Library,,http://www.njstatelib.org/,9,2015-01-16,2014-11-19,,governments.yml,override
NY,State of New York,ny,https://github.com/ny,New York State,The official GitHub account of New York State Office of IT Services.,,7,2025-12-02,2013-03-18,,governments.yml,domain:ny.gov
NY,State of New York,NYS-ITS,https://github.com/NYS-ITS,New York State,The official GitHub account of New York State Office of IT Services has been moved to http://www.github.com/ny,http://www.github.com/ny,1,2015-02-11,2015-02-11,,governments.yml,domain:ny.gov
NY,State of New York,nysenate,https://github.com/nysenate,NY Senate Open Source Projects,The official GitHub account of the New York State Senate. Proud to be the first government entity in the world to publish our source code on Github!,https://www.nysenate.gov/,36,2026-09-25,2009-06-10,,governments.yml,domain:nysenate.gov
OK,,okcareertech,https://github.com/okcareertech,Oklahoma Dept. of Career and Technology Education,,http://www.okcareertech.org,1,2015-12-08,2015-12-08,,governments.yml,override
OR,State of Oregon,OregonOpenData,https://github.com/OregonOpenData,Data.Oregon.Gov,Data.Oregon.gov is the state of Oregon's open data portal. This is for sharing code on how to interact with the data portal,http://data.oregon.gov,1,2015-02-12,2015-02-12,,governments.yml,domain:oregon.gov
OR,Metro,ORMetro,https://github.com/ORMetro,Metro Web Team,,https://www.oregonmetro.gov,5,2022-07-29,2013-04-05,,governments.yml,domain:oregonmetro.gov
SC,"State of South Carolina-The South Carolina Department of Administration, Chief Information Officer",SCGeology,https://github.com/SCGeology,SCDNR Earth Science Group,,http://dnr.sc.gov/geology,18,2023-03-07,2015-05-26,,governments.yml,domain:sc.gov
TN,State of Tennessee,tndidd,https://github.com/tndidd,Department of Disability & Aging,,http://tn.gov/disability-and-aging,0,,2016-02-10,,governments.yml,domain:tn.gov
TX,Texas Department of Information Resources,TNRIS,https://github.com/TNRIS,Texas Geographic Information Office,"Texas Geographic Information Office, a division of the Texas Water Development Board",https://geographic.texas.gov,70,2026-09-25,2013-04-23,,governments.yml,domain:texas.gov
TX,,twdb,https://github.com/twdb,Texas Water Development Board,,,16,2026-04-29,2011-05-19,,governments.yml,override
TX,Texas Department of Transportation,TxDOT,https://github.com/TxDOT,Texas Department of Transportation-TPP,,https://txdot.gov/,24,2026-07-23,2012-11-12,,governments.yml,domain:txdot.gov
UT,State of Utah,agrc,https://github.com/agrc,UGRC,Utah Geospatial Resource Center: Location Matters.,https://gis.utah.gov/,220,2026-09-25,2011-04-04,,governments.yml,domain:utah.gov
UT,State of Utah,UtahForestryFireStateLands,https://github.com/UtahForestryFireStateLands,UtahForestryFireStateLands,"Utah Division of Fire, Forestry, and State Lands.",http://www.ffsl.utah.gov/,2,2014-06-10,2014-05-30,,governments.yml,domain:utah.gov
VA,Commonwealth of Virginia,LibraryofVA,https://github.com/LibraryofVA,Library of Virginia,,http://www.lva.virginia.gov/,14,2024-09-11,2014-06-30,,governments.yml,domain:virginia.gov
VA,Commonwealth of Virginia,VDGIF,https://github.com/VDGIF,Virginia Department of Game and Inland Fisheries,,http://wildlife.virginia.gov/,1,2014-08-21,2014-06-10,,governments.yml,domain:virginia.gov
VA,Commonwealth of Virginia,Virginia-Department-of-Health,https://github.com/Virginia-Department-of-Health,Virginia Department of Health,Virginia Department of Health,http://www.vdh.virginia.gov/,0,,2014-12-11,,governments.yml,domain:virginia.gov
VA,Virginia General Assembly,Virginia-House-of-Delegates,https://github.com/Virginia-House-of-Delegates,House of Delegates,,https://virginiageneralassembly.gov,4,2021-03-18,2013-07-16,,governments.yml,domain:virginiageneralassembly.gov
VT,VT Dept of Information & Innovation,VTrans,https://github.com/VTrans,Vermont Agency of Transportation,,http://vtrans.vermont.gov,17,2020-01-29,2014-10-13,,governments.yml,domain:vermont.gov
VT,VT Dept of Information & Innovation,VTrans-Rail,https://github.com/VTrans-Rail,VTrans Rail,Vermont Agency of Transportation - Rail Section,http://rail.vermont.gov,13,2018-09-14,2014-10-01,,governments.yml,domain:vermont.gov
WA,State of Washington - Consolidated Technology Services,WA-Department-of-Agriculture,https://github.com/WA-Department-of-Agriculture,WSDA,,agr.wa.gov/AgScience,9,2026-06-07,2022-05-03,,governments.yml,domain:wa.gov
