product_id,csp,cso,status,auth_type,impact_level,service_model,deployment_model,business_function,reported_authorizations,reported_reuses,auth_date,ready_date,independent_assessor,small_business,leveraged_systems,website,service_desc,marketplace_url,source_last_change
F1607067912,18F - 18F Cloud.gov,CG-TTS - Cloud.Gov,FedRAMP Authorized,JAB,Moderate,PaaS,Government Community Cloud,,19,18,2017-02-02,2016-05-20,"Lunarline, Inc.",No,,https://www.cloud.gov,"Cloud.gov is designed and operated by US government workers, for US government work. Cloud.gov reduces the barriers to rapid, incremental, compliant, secure, and scalable delivery of government services by all government agencies, leveraging best-of-breed modern practices. Cloud.gov provides a Platform-as-a-Service (PaaS) based on Cloud Foundry, enabling instant provisioning of services and environments, easy deployment of applications, and rapid scaling to match demand. Cloud.gov includes tools to quickly incorporate 800-53 NIST control documentation into easily-prepared and comprehensive System Security Plans (SSPs) for evaluation by local agency information security organizations or FedRAMP, reducing the time it takes for teams to gain Authority To Operate (ATO).",https://www.fedramp.gov/marketplace/products/F1607067912,2026-09-23
FR2335047392,3rd Eye Technologies LLC.,Mystic Message Archival,FedRAMP Authorized,Agency,Moderate,SaaS,Government Community Cloud,Analytics;Collaboration;Communication;Content Management System (CMS);Cybersecurity & Risk Management;Data Management;Legal & Policy;Storage,3,2,2025-01-31,2024-01-19,"A-LIGN Compliance and Security, Inc. dba A-LIGN",Yes,,https://3rdeyetechinc.com/mystic-message-archival/,Mystic Message Archival provides capture and archiving of SMS/MMS data through encrypted channels receiving data directly from cellular carriers. The data is stored on behalf of the agency it is being collected for in an encrypted content and data storage for retention based on each agencies policies. APIs make it possible to retrieve this data for later usage. All data is only accessibly by authorized personnel of each agency. Data is also exportable through a user interface which requires authentication through an identity management system vetted by each agency. Data is not accessible by anyone beyond the agencies scope and access is protected through whitelisting of IP addresses and firewalls at a network level. The authorization boundary is what dictates the realm of what is accessible in our platform.,https://www.fedramp.gov/marketplace/products/FR2335047392,2026-09-23
FR2617641654,911inform,911inform,Agency In Process,Agency,Moderate,SaaS,Hybrid Cloud,Collaboration;Communication;Law Enforcement,0,0,,,"Fortreum, LLC",No,,911inform.com,"911inform is a secure, cloud-based emergency response and situational intelligence platform designed for federal and enterprise environments requiring real-time visibility and coordinated response during critical incidents. Delivered within a FedRAMP-aligned SaaS architecture, the platform provides a centralized command-and-control interface for managing emergencies across facilities and agencies. At its core is 911inform’s patented Location Discovery Solution (LDS), a Ray Baum’s Act-compliant technology that delivers precise, dynamic location data for 911 calls across PBX, softphone, and mobile devices. The platform enhances emergency response through patented interactive mapping, real-time cellular 9-1-1 call detection with location reporting, and automated multi-channel notifications. 911inform enables secure communications and interoperability between organizations and first responders, delivering real-time situational intelligence to improve coordination and decision-making. Designed for scalability and rapid deployment, 911inform integrates with existing telephony, security, and IT infrastructure while maintaining role-based access control, auditability, and secure data handling. SERVICES: RAY BAUM's Act Compliance Kari’s Law Compliance Cellular 9-1-1 Call reporting Interactive mapping with routing Notification and messaging services First Responder Coordination Emergency Location Services",https://www.fedramp.gov/marketplace/products/FR2617641654,2026-09-23
FR2532557612,A-LIGN,A-SCEND,FedRAMP Authorized,Program,20x Low,SaaS,Public Cloud,Collaboration;Customer Service;Cybersecurity & Risk Management,1,0,2025-09-17,,RISC Point,No,,https://www.a-lign.com/a-scend,"A-LIGN’s A-SCEND platform, an AI-powered audit management solution that streamlines evidence collection, accelerates review cycles, and enhances collaboration throughout the process. Purpose-built for frameworks like FedRAMP 20x, A-SCEND helps automate the authorization process, from machine-readable evidence generation to AI-assisted validation, reducing preparation time and manual effort.",https://www.fedramp.gov/marketplace/products/FR2532557612,2026-09-23
FR2000174962,"Abbott, Inc.",LibreView for US Government,FedRAMP Authorized,Agency,Moderate,SaaS,Government Community Cloud,Health & Wellness,1,0,2020-05-12,,Kratos,No,,https://www.libreviewgov.com/,"LibreView is intended for use by patients, caregivers and healthcare professionals to assist people with diabetes and their healthcare professionals in the review, analysis and evaluation of historical glucose meter data to support effective diabetes management. LibreView is developed, distributed, and supported by Abbott, a major manufacturer of glucose monitoring devices. Trademarks are the property of their respective owners.",https://www.fedramp.gov/marketplace/products/FR2000174962,2026-09-23
FR2425960757,Abnormal AI,Abnormal AI for Government,FedRAMP Authorized,Agency,Moderate,SaaS,Government Community Cloud,Communication;Cybersecurity & Risk Management,1,0,2025-04-11,,"Schellman Compliance, LLC",No,,https://abnormal.ai/,"Abnormal AI for Government (Abnormal Gov) is a cloud-native, API-based offering that provides holistic email security for cloud email platforms – Microsoft365 and Google Workspace, against the full spectrum of email attacks including advanced phishing, fraud, account compromise, supply chain compromise, user-reporting phishing, and more. The platform connects via API to analyze thousands of signals from multiple data sets and precisely baseline known behavior of every employee within an organization and every vendor within the supply chain. Autonomous AI models enable Abnormal Gov to detect anomalous activity and stop never-before-seen attacks quickly and accurately. The platform also serves as an AI Security Co-worker by fully automating the triage and remediation of user-reported emails. AI models judge user-reported emails as safe, spam, or malicious and automatically remediate malicious emails across all affected users using AI, eliminating any manual intervention by security analysts. Additionally, AI models automatically learn the behavioral preferences of every employee through their folder movements of graymail and autonomously declutter inboxes from unwanted mail thereby boosting employee productivity. Abnormal Gov’s cloud email security product suite includes Inbound Email Security, Email Account Takeover Protection, AI Security Mailbox, Email Security Posture Management, and Email Productivity. The platform leverages a multi-tenant government cloud computing environment and is available for public, federal, state, local, and tribal governments.",https://www.fedramp.gov/marketplace/products/FR2425960757,2026-09-23
FR2307441316,Absolute Security,Absolute Secure Endpoint Product Suite,FedRAMP Authorized,Agency,Moderate,SaaS,Public Cloud,Cybersecurity & Risk Management,5,4,2025-03-04,2022-12-13,Kratos,No,,https://www.absolute.com/,"Absolute Secure Endpoint offers an agent-based endpoint resilience solution powered by Absolute Persistence®; a patented technology embedded in the firmware of over 600 million devices. This unique technology ensures an unbreakable connection between endpoints and the Absolute Secure Endpoint SaaS platform, serving as a trusted source of truth for device and application health. It automates self-healing for mission-critical applications and security controls while providing a robust lifeline for protecting at-risk devices and data. Organizations can locate, freeze, and wipe lost or stolen devices in accordance with NIST standards, enabling IT and security teams to enhance cyber resilience, strengthen security posture, and maintain compliance. Key Capabilities: The Absolute Secure Endpoint suite allows customers to remotely manage their endpoint devices through a Web UI (Customer Center (CC) Console) or Public APIs, delivering the following features: • Track Hardware: Monitor and manage device inventories. • Measure Device Usage: Analyze usage patterns to optimize resources. • Monitor Installed Software: Streamline compliance and software audits. • Assess Security Posture: Gain insights into endpoint security. • Monitor Critical Application Health: Ensure mission-critical applications run optimally. • Detect Unauthorized Device Movement: Prevent unauthorized access and data breaches. • Remotely Freeze Devices: Lock devices to prevent misuse. • Remotely Delete Data: Securely wipe sensitive information when necessary. • Enable Firmware Protection: Safeguard devices at the firmware level. • Make Critical Applications Self-Healing: Automatically restore essential applications. • Identify Sensitive Information on Devices: Detect and classify sensitive data. • Remotely Query & Remediate Devices at Scale: Address issues across large device populations. • Comply Module for Secure Endpoint: Strengthen endpoint compliance with advanced tools. Supported Use Cases: The suite addresses a wide range of operational and security challenges: • Device Lifecycle Management: Simplify provisioning, maintenance, and decommissioning of devices. • Automate Hardware Audits: Improve audit accuracy while reducing manual effort. • Automate Software Audits: Ensure software compliance across endpoints. • Improve Help Desk Efficiency: Speed up the resolution of device issues. • Find and Fix Vulnerabilities: Detect and remediate endpoint weaknesses. • Enforce Security Standards: Apply consistent security policies across the organization. • Detect Endpoint Risks: Monitor and respond to emerging threats. • Respond to Endpoint Risks: Execute rapid, effective countermeasures. • Provide Evidence of Compliance: Demonstrate adherence to regulatory standards. • GDPR Compliance: Protect personal data and meet privacy requirements. • Next-Generation Cyber Resilience: Defend against evolving cyber threats with advanced protection. • Enterprise Security and Compliance: Meet rigorous security and regulatory requirements. • Firmware-Embedded Resilience: Protect devices persistently at the firmware level. • Validation of Secure and Compliant Devices: Ensure only compliant devices access corporate networks. • Optimized Remote Work Security: Strengthen security for remote and hybrid work environments. • Automated Remediation for Incidents: Automatically address critical errors and system issues to ensure seamless operation and stability. With its innovative technology, advanced remediation capabilities, and comprehensive features, Absolute Secure Endpoint empowers organizations to build stronger, more resilient endpoint security ecosystems tailored to modern challenges.",https://www.fedramp.gov/marketplace/products/FR2307441316,2026-09-23
FR1834336116,Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,FedRAMP Authorized,Agency,Moderate,SaaS,Government Community Cloud,Cybersecurity & Risk Management;Operations Management,3,2,2020-01-28,,"Schellman Compliance, LLC",No,,https://www.accenture.com/us-en/industries/accenture-federal-services,"Accenture Extended Detection and Response (XDR) for government service is a proactive security platform designed for Federal agencies and customers. This scalable threat monitoring service enables all Continental United States (CONUS) government entities trusted and reliable cyber defense at a fraction of the cost of traditional 24/7 in-house incident response programs. XDR provides security monitoring using real-time threat intel and Security Orchestration, Automation and Response (SOAR) capabilities to decrease the mean time to resolution on all security incidents. XDR is built in the cloud to provide maximum availability and scalability.",https://www.fedramp.gov/marketplace/products/FR1834336116,2026-09-23
F1404043549,Accenture Federal Services,Accenture Federal Cloud ERP,FedRAMP Authorized,Agency,Moderate,SaaS,Government Community Cloud,,2,1,2016-06-24,,"Schellman Compliance, LLC",No,,https://www.accenture.com/us-en/afs-industry-index.aspx,"Accenture Federal Cloud ERP is a secure cloud offering delivering virtualized back-office ERP solutions, covering Financial Management, Property/Asset Management, HR and Payroll, to US federal customers. Accenture leverages Oracle applications (E-Business Suite, PeopleSoft, OBIEE, Hyperion) and other COTS applications (Sunflower), cloud technology and assets from 20+ years of experience to help customers to meet their unique mission requirements.",https://www.fedramp.gov/marketplace/products/F1404043549,2026-09-23
FR2106555313,"AchieveIt Online, LLC",AchieveIt,FedRAMP Authorized,Agency,Low,SaaS,Public Cloud,Analytics;Collaboration;Communication,1,0,2021-07-29,,"Prescient Security, LLC.",Yes,,https://www.achieveit.com/,"AchieveIt helps federal government agencies manage mission critical plans and initiatives. Our cloud-based software platform empowers teams to focus on executing strategic initiatives instead of working on manual tasks. With AchieveIt, leaders can monitor progress on key plans and initiatives in real-time using a single, automated platform that establishes uniformity and visibility across plans and initiatives, promotes accountability throughout the agency, and enables informed decision-making. Trusted by organizations such as the Department of Veterans Affairs, The Joint Pathology Center, and the United States Air Force, AchieveIt accelerates IT modernization efforts by helping federal agencies plan, manage, and report their mission-critical plans and initiatives.",https://www.fedramp.gov/marketplace/products/FR2106555313,2026-09-23
